# ORB-slam3's format: time[ns], wx(rad/s), wy, wz, ax(m/s2), ay, az
6827334333,0.000366,-0.000310,0.000147,-0.443604,-0.001071,10.167818
6837334333,0.000228,-0.000148,-0.000047,-0.457464,0.070266,10.233210
6847334333,0.000179,-0.000078,-0.000277,-0.465582,0.038251,10.210241
6857334333,0.000007,0.000035,-0.000447,-0.488588,0.100960,10.140819
6867334333,-0.000085,0.000182,-0.000522,-0.427775,0.109090,10.054627
6877334333,-0.000216,0.000278,-0.000604,-0.451107,0.090314,9.952183
6887334333,-0.000312,0.000307,-0.000631,-0.455541,0.106169,9.918735
6897334333,-0.000394,0.000345,-0.000622,-0.458926,0.149138,9.819276
6907334333,-0.000476,0.000391,-0.000613,-0.462331,0.130044,9.718155
6917334333,-0.000563,0.000461,-0.000456,-0.484312,0.127045,9.597926
6927334333,-0.000578,0.000539,-0.000402,-0.464572,0.127363,9.546030
6937334333,-0.000644,0.000522,-0.000206,-0.467209,0.110391,9.418666
6947334333,-0.000737,0.000494,-0.000029,-0.475151,0.051428,9.372419
6957334333,-0.000761,0.000467,0.000228,-0.521313,0.040131,9.424093
6967334333,-0.000747,0.000471,0.000400,-0.440048,0.014687,9.467194
6977334333,-0.000811,0.000490,0.000498,-0.461985,-0.002275,9.505342
6987334333,-0.000823,0.000537,0.000593,-0.483542,-0.021309,9.587153
6997334333,-0.000860,0.000553,0.000699,-0.523609,-0.044491,9.643989
7007334333,-0.000885,0.000506,0.000795,-0.495875,-0.060370,9.716957
7017334333,-0.000864,0.000521,0.000836,-0.544002,-0.067255,9.795264
7027334333,-0.000935,0.000541,0.000932,-0.539816,-0.075941,9.859823
7037334333,-0.000943,0.000571,0.000908,-0.534523,-0.016394,9.904158
7047334333,-0.000960,0.000619,0.000926,-0.556028,-0.068791,9.968274
7057334333,-0.001060,0.000628,0.000932,-0.529721,-0.065739,10.037344
7067334333,-0.000969,0.000588,0.000862,-0.555587,-0.031357,10.037881
7077334333,-0.000984,0.000603,0.000787,-0.581262,-0.031310,10.020614
7087334333,-0.000936,0.000534,0.000759,-0.585940,-0.076701,10.016909
7097334333,-0.000785,0.000486,0.000627,-0.560081,-0.070332,10.040055
7107334333,-0.000718,0.000384,0.000536,-0.538971,-0.090318,10.051087
7117334333,-0.000460,0.000338,0.000301,-0.600372,-0.130348,10.048873
7127334333,-0.000325,0.000214,0.000241,-0.633534,-0.141992,10.055411
7137334333,-0.000168,0.000129,-0.000029,-0.556828,-0.089901,10.079858
7147334333,0.000131,-0.000033,-0.000222,-0.553063,-0.092068,10.081802
7157334333,0.000427,-0.000248,-0.000450,-0.592460,-0.092861,10.000353
7167334333,0.000672,-0.000340,-0.000653,-0.575599,-0.068459,10.065299
7177334333,0.000821,-0.000513,-0.000778,-0.585669,0.008157,9.979654
7187334333,0.000963,-0.000590,-0.000924,-0.604328,0.019948,10.010064
7197334333,0.001138,-0.000644,-0.001071,-0.556091,0.028266,9.964290
7207334333,0.001226,-0.000778,-0.001125,-0.556806,0.074176,9.929264
7217334333,0.001275,-0.000862,-0.001209,-0.568893,0.079167,9.901483
7227334333,0.001329,-0.001083,-0.001153,-0.565081,0.028697,9.884794
